,Name,Critic_Score,User_Score
356,Luigi's Mansion,7.8,8.5
357,Battlefield 4,8.5,6.9
358,Star Wars: Battlefront II,8.4,9
360,Cooking Mama 2: Dinner With Friends,7.0,8
363,Grand Theft Auto: Liberty City Stories,7.8,7.8
364,The Getaway,7.2,6.8
366,James Bond 007: Agent Under Fire,7.2,7.9
369,FIFA Soccer 11,8.8,7.5
371,Left 4 Dead,8.9,7.9
373,Assassin's Creed: Unity,7.2,4.1
375,Resident Evil 5,8.3,7.5
376,Assassin's Creed: Brotherhood,8.9,8.3
377,FIFA Soccer 2004,8.4,6.4
378,Battlefield 4,8.0,5.8
379,Batman: Arkham Asylum,9.2,8.7
380,Battlefield 4,7.9,5.6
381,Battlefield: Bad Company 2,8.8,8.6
383,Guitar Hero: On Tour,7.1,8.8
384,Clubhouse Games,8.3,8.4
386,Borderlands,8.4,8.2
387,Tekken 4,7.9,8.3
389,Grand Theft Auto 2,7.0,8
390,Metal Gear Solid V: The Phantom Pain,9.3,8.2
391,Spider-Man 2,8.0,8.9
393,FIFA Soccer 2003,8.8,6.7
394,LittleBigPlanet 2,9.1,8.4
395,Crash Bash,6.8,8.2
396,Assassin's Creed Syndicate,7.6,6.8
397,LEGO Batman: The Videogame,7.6,7.9
398,Destiny,7.5,5.5
401,Far Cry 3,9.0,8.5
404,James Bond 007: Nightfire,7.7,8.5
407,Star Wars Episode III: Revenge of the Sith,6.0,7.2
408,The Legend of Zelda: Spirit Tracks,8.7,7.8
409,Max Payne,8.0,8.5
410,Assassin's Creed IV: Black Flag,8.6,7.9
411,The Lord of the Rings: The Return of the King,8.5,8.7
413,Gears of War: Ultimate Edition,8.2,7.5
414,True Crime: Streets of LA,7.7,8
415,Professor Layton and the Unwound Future,8.6,9.2
417,FIFA 16,8.4,4.4
418,Wii Music,6.3,4.6
420,Madden NFL 16,8.3,5.9
421,Gran Turismo 6,8.1,7.7
422,Halo: The Master Chief Collection,8.5,7.2
424,Super Mario Maker,8.8,8.7
429,God of War: Chains of Olympus,9.1,8.6
430,Enter the Matrix,6.2,8.1
431,Crisis Core: Final Fantasy VII,8.3,8
432,Dance Central,8.2,7.6
433,L.A. Noire,8.9,7.7
434,Ace Combat 04: Shattered Skies,8.9,9.1
435,Animal Crossing,8.7,8.9
436,FIFA Soccer 08,8.3,6.5
438,Spider-Man,8.7,9
439,Mario Party 9,7.3,6.8
442,Sonic Rush,8.2,8.5
444,Rhythm Heaven,8.3,9
445,Fallout: New Vegas,8.2,7.8
446,Personal Trainer: Cooking,8.1,7.8
447,The Elder Scrolls IV: Oblivion,9.3,8
448,The Legend of Zelda: A Link Between Worlds,9.1,8.9
449,Resident Evil 6,7.4,5.4
450,Mass Effect 2,9.6,8.9
451,Dragon Ball Z: Budokai,6.7,7.9
452,Madden NFL 2002,9.4,7.9
455,The Sims: Vacation,7.5,7.8
456,LEGO Batman: The Videogame,7.4,7.9
457,Animal Crossing: Happy Home Designer,6.6,6.9
458,The Sims 4,7.0,3.9
459,Borderlands 2,8.9,8.2
460,LEGO Batman: The Videogame,7.2,8
461,Kung Fu Panda,7.5,7.4
462,Mass Effect 3,9.3,5.8
463,Heavy Rain,8.7,7.7
465,Saints Row 2,8.1,8.1
466,Tom Clancy's Splinter Cell,9.3,8.5
469,FIFA 14,8.7,6.3
470,Killzone 2,9.1,8.1
471,Far Cry 3,9.1,8.6
472,Epic Mickey,7.3,7
473,NBA 2K13,8.8,7.2
474,Dragon Ball Z: Budokai Tenkaichi 3,7.3,9.2
477,The Sims: Livin Large,8.2,6.6
478,World Soccer Winning Eleven 6 International,9.3,9.1
479,Devil May Cry,9.4,8.5
480,Star Wars: The Old Republic,8.5,5.9
481,Middle-Earth: Shadow of Mordor,8.4,8.1
482,Sonic Heroes,6.4,7.8
483,Hitman 2: Silent Assassin,8.5,7.8
484,Titanfall,8.6,6.4
485,Battlefield: Bad Company 2,8.8,8.5
487,SOCOM II: U.S. Navy SEALs,8.7,9
489,Pac-Man Collection,7.9,7.8
490,Street Fighter IV,9.3,7.3
491,inFAMOUS,8.5,8.3
492,Kirby Super Star Ultra,7.6,8.8
493,Call of Duty: Ghosts,7.8,4.3
496,Mass Effect,9.1,8.7
497,Sonic Mega Collection Plus,7.3,8.6
498,World Soccer Winning Eleven 7 International,9.3,9
499,Sega Superstars Tennis,6.7,6.8
500,Hot Shots Golf 3,8.5,8.9
501,Cooking Mama: Cook Off,6.1,5.3
502,Call of Duty: Finest Hour,7.6,7.7
503,WarioWare: Smooth Moves,8.3,7.4
507,Madden NFL 13,8.1,5.8
508,The Elder Scrolls III: Morrowind,8.7,8.7
509,Assassin's Creed IV: Black Flag,8.3,7.8
513,Mortal Kombat,8.4,8.4
514,Madden NFL 10,8.5,6.1
516,BioShock,9.6,8.9
517,Metroid Prime,9.7,9.3
518,Assassin's Creed: Brotherhood,9.0,8.2
522,Medal of Honor,7.5,7.5
529,inFAMOUS: Second Son,8.0,7.9
533,NBA Street,8.9,8.6
534,Jak II,8.7,8.2
536,Need for Speed: Hot Pursuit,8.9,7.2
537,Skylanders: Spyro's Adventure,8.1,5.6
538,Battlefield 3,8.9,7.5
539,Mortal Kombat X,8.3,7.7
540,The Sims,8.3,7.7
541,Killzone 3,8.4,7.9
542,Star Wars: The Force Unleashed,7.3,6.7
544,Yoshi's Island DS,8.1,7.4
545,Saints Row: The Third,8.4,7.6
548,Tekken 6,7.9,7.4
551,Sonic and the Secret Rings,6.9,6.6
553,The Legend of Zelda: A Link to the Past,9.5,9.1
554,Onimusha: Warlords,8.6,8.2
556,L.A. Noire,8.9,7.8
557,Call of Duty 3,8.2,6.5
558,Madden NFL 12,7.8,5.9
559,LEGO Star Wars II: The Original Trilogy,8.4,9
560,Killzone: Shadow Fall,7.3,6.8
561,Madden NFL 11,8.4,5.7
562,Burnout 3: Takedown,9.3,9.1
565,Mario vs. Donkey Kong: Mini-Land Mayhem!,7.9,7.7
566,Professor Layton and the Last Specter,8.3,8.7
567,Call Of Duty 2: Big Red One,7.7,8.2
568,Medal of Honor,9.2,8.6
569,Fable,8.5,8.5
570,Guitar Hero: World Tour,8.5,6.3
571,FIFA 17,8.4,5.5
573,Tom Clancy's Splinter Cell,8.9,7.7
575,Need for Speed: Shift,8.4,6.9
577,Medal of Honor Heroes,7.1,7.9
578,Final Fantasy XIII-2,7.9,6.6
579,Midnight Club: Street Racing,7.8,7.8
580,Skate 3,8.0,8
581,ESPN NFL 2K5,9.0,8.2
582,Halo Wars,8.2,7.2
583,NBA 2K12,9.0,7.7
585,FIFA Soccer 10,9.0,7.5
586,Medal of Honor,7.4,6.7
587,Harry Potter and the Chamber of Secrets,7.1,7.6
589,God of War Collection,9.1,8.7
590,NBA Live 2005,8.4,8.1
591,Mario Strikers Charged,7.9,8
592,FIFA Soccer 09,8.7,7.5
593,Style Savvy,7.3,7.7
594,WWE SmackDown vs. RAW 2007,8.0,8.6
595,LEGO Star Wars: The Complete Saga,8.0,7.4
597,Madden NFL 08,7.8,7.8
598,Monster Hunter Freedom 2,7.2,8.7
601,Sonic Adventure 2 Battle,7.3,8.3
604,Madden NFL 13,8.3,5.5
605,Dragon Age: Origins,8.6,7.9
606,Pokémon Colosseum,7.3,8
607,LittleBigPlanet,8.7,7.8
608,Madden NFL 09,8.3,7
610,Crazy Taxi,8.0,7.9
611,Art Academy,7.5,8
612,NBA 2K14,8.7,4.9
614,Skylanders Giants,7.8,7
616,Deca Sports,5.0,5.4
619,Marvel: Ultimate Alliance,8.2,7.5
621,Mortal Kombat: Deadly Alliance,7.9,8.8
622,Game Party,2.5,4.3
623,Bloodborne,9.2,8.6
625,Mario Party 4,7.0,7.4
626,Pure,8.5,7.7
627,Rock Band,9.2,8.2
628,NBA 2K13,9.0,8
629,Saints Row: The Third,8.2,7.7
630,Resistance 2,8.7,6.1
631,NBA 2K15,8.3,7
633,Final Fantasy Tactics,8.3,8.2
634,Midnight Club: Los Angeles,8.2,8.2
636,The Sims: Bustin' Out,8.1,8.4
638,LEGO Harry Potter: Years 1-4,7.9,8
640,Call of Duty: Infinite Warfare,7.8,3.1
641,Madden NFL 16,8.4,6.1
644,Tom Clancy's Rainbow Six: Vegas 2,8.2,7.8
647,Need for Speed Carbon: Own the City,7.3,7.9
648,Dragon Ball Z: Budokai 2,6.6,8.2
649,pro evolution soccer 2011,7.7,6.8
650,ATV Offroad Fury,8.2,8.4
652,Need for Speed: ProStreet,6.2,6.2
653,Halo: Combat Evolved Anniversary,8.2,8.1
660,Guitar Hero,9.1,8.7
661,Madden NFL 11,8.3,6.1
664,Dead Island,7.1,6.9
665,Half-Life 2,9.6,9.1
666,The Incredibles,6.2,7.6
667,Madden NFL 08,8.5,6.4
668,Tony Hawk's Underground 2,8.3,8.8
669,Zumba Fitness,4.2,5.5
670,Madden NFL 10,8.5,6.8
672,Midnight Club: Los Angeles,8.1,8.5
675,Kinect: Disneyland Adventures,7.3,2.9
676,WWE SmackDown vs Raw 2008,7.1,7.2
677,The Legend of Zelda: Majora's Mask 3D,8.9,9
678,LEGO Indiana Jones: The Original Adventures,7.8,6.6
679,Resident Evil - Code: Veronica X,8.4,8.4
680,NBA 2K16,8.6,6.2
681,Kinect Sports: Season Two,6.6,6.5
685,James Bond 007: Everything or Nothing,8.4,9.1
686,Need For Speed: High Stakes,8.6,8.5
688,Guild Wars 2,9.0,7.9
690,Paper Mario: Sticker Star,7.5,5.6
692,Batman: Arkham Origins,7.6,7.7
